gen,best_so_far,gen_best,gen_avg,elapsed_s
0,2633,2633,2216.87,32.884
1,2633,2633,2042.38,34.045
2,2708,2708,2051.91,34.492
3,2708,2708,2080.8,35.16
4,2708,2708,2131.22,35.798
5,2708,2708,2150.8,36.717
6,2749,2749,2212.6,37.749
7,2749,2749,2223.96,38.233
8,2758,2758,2248.18,38.724
9,2762,2762,2286.81,39.687
10,2762,2762,2326.54,40.447
11,2775,2775,2375.37,41.131
12,2775,2775,2410.51,41.686
13,2775,2775,2465.6,42.245
14,2776,2776,2433.5,43.106
15,2776,2776,2450.48,44.066
16,2776,2776,2445.11,44.983
17,2776,2776,2440.75,45.709
18,2776,2776,2423.03,45.845
19,2776,2776,2377.69,46.937
20,2776,2776,2369.31,47.41
21,2839,2839,2367.62,47.832
22,2839,2839,2349.79,48.85
23,2839,2839,2352.42,49.372
24,2839,2839,2309.13,50.312
25,2839,2839,2320.14,51.046
26,2839,2839,2340.29,51.905
27,2839,2839,2377.52,52.427
28,2839,2839,2346.45,52.765
29,2839,2839,2348.44,53.882
30,2839,2839,2320.05,54.637
31,2839,2839,2356.33,55.558
32,2858,2858,2399.8,56.087
33,2858,2858,2348.31,57.15
34,2858,2858,2340.46,58.115
35,2858,2858,2366.59,58.424
36,2858,2858,2408.23,58.809
37,2858,2858,2378.72,59.453
38,2858,2858,2375.58,60.159
39,2858,2858,2324.84,60.871
40,2858,2858,2324.24,61.396
41,2858,2858,2337.92,62.048
42,2858,2858,2337.61,62.368
43,2858,2858,2369.96,62.39
44,2858,2858,2403.23,63.113
45,2858,2858,2446.21,64.15
46,2858,2858,2455.84,65.44
47,2858,2858,2458.51,66.705
48,2858,2858,2448.9,67.512
49,2858,2858,2392.68,68.197
50,2858,2858,2386.73,69.14
51,2858,2858,2312.16,70.397
52,2858,2858,2363.2,71.477
53,2858,2858,2370.73,72.372
54,2858,2858,2399.2,73.331
55,2858,2858,2415.53,74.128
56,2858,2858,2377.43,74.765
57,2858,2858,2405.73,75.575
58,2858,2858,2388.26,76.003
59,2858,2858,2386.29,76.813
60,2858,2858,2448.2,77.56
61,2858,2858,2441.63,78.093
62,2858,2858,2440.84,79.126
63,2858,2858,2400.09,79.807
64,2858,2858,2380.39,80.271
65,2858,2858,2397.42,80.816
66,2858,2858,2403.02,81.547
67,2858,2858,2424.75,81.993
68,2858,2858,2395.93,82.611
69,2858,2858,2413.61,83.133
70,2858,2858,2387.16,83.729
71,2858,2858,2430.93,84.024
72,2858,2858,2402.23,84.721
73,2858,2858,2390.41,85.325
74,2858,2858,2379.8,85.969
75,2858,2858,2400.83,86.632
76,2858,2858,2399.58,87.991
77,2858,2858,2439.87,88.763
78,2858,2858,2362.28,89.649
79,2858,2858,2377.48,90.449
80,2858,2858,2395.62,91.066
81,2858,2858,2412.58,91.487
82,2858,2858,2404.14,92.209
83,2858,2858,2387.86,93.12
84,2858,2858,2389.15,93.886
85,2858,2858,2406.16,94.513
86,2858,2858,2423.0,95.103
87,2858,2858,2450.43,96.216
88,2858,2858,2450.61,97.899
89,2858,2858,2443.66,98.556
90,2858,2858,2451.46,99.087
91,2858,2858,2451.81,99.741
92,2858,2858,2439.1,100.348
93,2858,2858,2437.99,100.795
94,2858,2858,2381.99,101.787
95,2858,2858,2371.77,102.905
96,2858,2858,2401.2,103.779
97,2858,2858,2409.75,104.178
98,2858,2858,2392.92,105.094
99,2858,2858,2393.74,106.289
100,2858,2858,2407.01,107.122
101,2858,2858,2373.91,108.289
102,2858,2858,2363.1,109.27
103,2858,2858,2391.67,110.278
104,2858,2858,2396.95,111.364
105,2858,2858,2426.07,111.946
106,2858,2858,2472.35,112.43
107,2858,2858,2408.49,113.452
108,2858,2858,2352.9,114.274
109,2858,2858,2373.38,114.983
110,2858,2858,2342.93,115.517
111,2858,2858,2341.32,116.396
112,2858,2858,2405.43,117.206
113,2858,2858,2427.05,117.458
114,2858,2858,2449.51,118.586
115,2858,2858,2461.54,119.85
116,2858,2858,2462.48,120.793
117,2858,2858,2436.7,121.667
118,2858,2858,2421.58,122.57
119,2858,2858,2454.71,123.191
120,2858,2858,2409.92,124.266
121,2858,2858,2430.75,124.817
122,2858,2858,2403.46,125.619
123,2858,2858,2391.01,126.184
124,2858,2858,2353.49,127.068
125,2858,2858,2379.02,128.125
126,2858,2858,2359.7,128.677
127,2858,2858,2389.26,129.836
128,2858,2858,2383.52,130.585
129,2858,2858,2364.18,131.613
130,2858,2858,2325.54,132.404
131,2858,2858,2370.48,133.647
132,2858,2858,2383.12,134.373
133,2858,2858,2414.49,135.522
134,2858,2858,2369.37,136.554
135,2858,2858,2385.93,137.002
136,2858,2858,2386.71,137.474
